old_name,new_name
322AL1_L_lonta_2.fastq,3008_R2.fastq
323AL1_L_chine_1.fastq,3010_R1.fastq
323AL1_L_chine_2.fastq,3010_R2.fastq
324BL1_S_jeann_1.fastq,3012_R1.fastq
324BL1_S_jeann_2.fastq,3012_R2.fastq
325AL1_W_caryo_1.fastq,3014_R1.fastq
325AL1_W_caryo_2.fastq,3014_R2.fastq
326AL1_W_nana_1.fastq,3016_R1.fastq
326AL1_W_nana_2.fastq,3016_R2.fastq
328AL1_A_brevi_1.fastq,3018_R1.fastq
328AL1_A_brevi_2.fastq,3018_R2.fastq
329AL1_A_engle_1.fastq,3020_R1.fastq
329AL1_A_engle_2.fastq,3020_R2.fastq
331AL1_A_liste_1.fastq,3022_R1.fastq
331AL1_A_liste_2.fastq,3022_R2.fastq
332AL1_A_micra_1.fastq,3024_R1.fastq
332AL1_A_micra_2.fastq,3024_R2.fastq
333AL1_A_micro_1.fastq,3026_R1.fastq
333AL1_A_micro_2.fastq,3026_R2.fastq
334AL1_A_mindo_1.fastq,3028_R1.fastq
334AL1_A_mindo_2.fastq,3028_R2.fastq
335AL1_A_plica_1.fastq,3030_R1.fastq
335AL1_A_plica_2.fastq,3030_R2.fastq
336AL1_A_porph_1.fastq,3032_R1.fastq
336AL1_A_porph_2.fastq,3032_R2.fastq
337AL1_A_retro_1.fastq,3034_R1.fastq
337AL1_A_retro_2.fastq,3034_R2.fastq
338AL1_A_ryuky_1.fastq,3036_R1.fastq
338AL1_A_ryuky_2.fastq,3036_R2.fastq
339AL1_A_talam_1.fastq,3038_R1.fastq
339AL1_A_talam_2.fastq,3038_R2.fastq
33BL1_C_obtus_1.fastq,3040_R1.fastq
33BL1_C_obtus_2.fastq,3040_R2.fastq
340AL1_A_tremu_1.fastq,3042_R1.fastq
340AL1_A_tremu_2.fastq,3042_R2.fastq
341AL1_A_wight_1.fastq,3044_R1.fastq
341AL1_A_wight_2.fastq,3044_R2.fastq
343AL1_C_angus_1.fastq,3046_R1.fastq
343AL1_C_angus_2.fastq,3046_R2.fastq
344AL1_C_cumin_1.fastq,3048_R1.fastq
344AL1_C_cumin_2.fastq,3048_R2.fastq
345AL1_C_pauci_1.fastq,3050_R1.fastq
345AL1_C_pauci_2.fastq,3050_R2.fastq
346AL1_C_rigid_1.fastq,3052_R1.fastq
346AL1_C_rigid_2.fastq,3052_R2.fastq
347AL1_C_cooki_1.fastq,3054_R1.fastq
347AL1_C_cooki_2.fastq,3054_R2.fastq
348AL1_C_curti_1.fastq,3056_R1.fastq
348AL1_C_curti_2.fastq,3056_R2.fastq
349AL1_H_compa_1.fastq,3058_R1.fastq
349AL1_H_compa_2.fastq,3058_R2.fastq
350AL1_H_repta_1.fastq,3060_R1.fastq
350AL1_H_repta_2.fastq,3060_R2.fastq
351AL1_J_lance_1.fastq,3062_R1.fastq
351AL1_J_lance_2.fastq,3062_R2.fastq
